Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",print-position-2,order-from,tariff-stat-no,color,print-surface,weight,dimensions,certificate,ovrigt,bestall-fran,tryck-storlek,storlek,accessories,version,tariff-stat-nn,input,output,solar-laddning,packaging,capacity,print-position-3,own-design,farg,sizes
66,"LED Megabeam Light Tech Pen",883-00.012,,"Ficklampa med en fokuserad LED med vitt ljus och en bred klämma för att fästa den i jackan eller tröjan. Stänksäker och med inbyggt överspänningsskydd.",883-00.012,Övrigt,,https://www.usb.nu/wp-content/uploads/2022/12/883-00.012_LED-Megabeam-Light-TechPen-Titan_1.jpg,,,725-sv,"50 st",85131000000,Titan,30x6mm,Lasergravyr,Metall,"1 AAA batteri",38g,111x14x14mm,"Rohs,EMC",60,46,40,38,36,34,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,"LED MegaBeam Security COB",618-00.001,,"Superkombination för bilen: kraftfull arbetsstrålkastare med många säkerhetsfunktioner. Nödhammare, bältesklippare, magnethållare att placera på bilens tak eller ovanför hjulet när du behöver byta däck. Fyra LR44 batterier medföljer.",618-00.001,"Övrigt,Nyheter","https://www.usb.nu/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_1.jpg,https://www.usb.nu/wp-content/uploads/2023/01/618-00.001_2S4A6805PM-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_2.jpg,https://www.usb.nu/wp-content/uploads/2023/01/618-00.001_2S4A6798PM-scaled.jpg",https://www.usb.nu/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00.001_LED-MegaBeam-Security-COB_PIC.zip"" target=""_blank"" rel=""noopener"">618-00.001_LED MegaBeam Security COB_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00-001_LED-MegaBeam-Security-COB_SIM-1.pdf"" target=""_blank"" rel=""noopener"">618-00-001_LED MegaBeam Security COB_SIM</a>",,720-sv,"50 st",85131000000,Svart,40x10mm,"Lasergravyr, Tampo tryck",Metall,-,65g,150x22mm,"Rohs, EMC",85,75,67,64,62,59,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,"Fitness Tracker Smart Eco",885-00.000,,"Smart ECO fitnesstracker med toppfunktionalitet (hälsopuls, blodsyre, blodtryck), sportfunktioner (4 sporter), samtal, meddelandedisplay och mycket mer - sportig IPX67 vattensäker snabbladdningsbar (45 minuter, genomsnittlig drifttid) 5 dagar) högkvalitativt litiumpolymerbatteri, IPX 67 med hela 10 dagars standby.",885-00.000,Övrigt,https://www.usb.nu/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/Fitnesstracker-SmartEco_885-00.000_Pic.zip"">Fitnesstracker SmartEco_885-00.000_Pic</a>",,"715-sv,211-11m-sv","50 st","91021200 000",Black,20x2mm,Screen,Metall,-,26g,230x35x12mm,"Rohs, EMC",170,158,147,141,137,131,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,"LED MegaBeam Flashlight 3W",693-00.003,,"Högpresterande LED-ficklampa i aluminium, extremt ekonomisk och ljusstark. En 3Watt LED-lampa som ger ett starkt sken. Ficklampan är skyddad mot regn och har överspännings skydd för bästa säkerhet.",693-00.003,Övrigt,"https://www.usb.nu/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_1red.jpg,https://www.usb.nu/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_2blue.jpg,https://www.usb.nu/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_5.jpg",https://www.usb.nu/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_4.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/LED-MegaBeam-Flashlight_693-00.003_Pic.zip"">LED MegaBeam Flashlight_693-00.003_Pic</a>",,725-sv,"50 st",85131000000,"Blå, röd",25x8mm,Lasergravyr,Metall,3W,83g,27x27x100mm,"Rohs, EMC",81,69,63,60,57,55,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,"Own design Earpod case",16670,,"Designa ditt eget Earpod skal. Kul, annorlunda och du kommer garanterat sticka ut med en helt unik design.

<strong>Varje design har sitt eget pris på offert.</strong>
<em>Priserna är en referens på huvudbilden (Ben Jerry).</em>",16670,"Nyheter,Egen design,Ljud","https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-4-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-5-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-6-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/DSC_4615.png,https://www.usb.nu/wp-content/uploads/2022/12/DSC_4614.png,https://www.usb.nu/wp-content/uploads/2022/12/DSC_4616.png,https://www.usb.nu/wp-content/uploads/2022/12/DSC_4617.png,https://www.usb.nu/wp-content/uploads/2022/12/DSC_4618.png,https://www.usb.nu/wp-content/uploads/2023/01/DSC_4619.png",https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-6-1-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16670_earpod-case-Pics.zip"" target=""_blank"" rel=""noopener"">16670_earpod case Pics</a>",,730-sv,"100 st",3926909790,"Valfri färg","Hela skalet","Gjuten logo","Mjuk PVC",-,-,"Samma som ditt skal",Reach,,59,54,52,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,"The Sound Guru ANC",543-00.001,,"Sound Guru True wireless stereo (TWS) hi-fi-lösning in-ear-hörlurar med aktiv brusreducering (ANC) för att blockera störande omgivningsljud och för behaglig musik njutning (speltid  ca 3-5 h) - fodralet används också för att ladda hörlurarna (ca 1,5 timmar för att ladda hörlurar och 5 timmar för att ladda fodralet).

Inkl. extra (silikontillbehör).",543-00.001,"Övrigt,Ljud","https://www.usb.nu/wp-content/uploads/2022/12/543-00.001_Earpods-SoundGuru_2.jpg,https://www.usb.nu/wp-content/uploads/2022/12/543-00.001_Earpods-SoundGuru_1.jpg",https://www.usb.nu/wp-content/uploads/2022/12/543-00.001_Earpods-SoundGuru_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/543-00.001_Earpods-SoundGuru_PIC.zip"">543-00.001_Earpods SoundGuru_PIC</a>",,"715-sv,203-11m-sv,211-11-3m-sv,211-11-4m-sv,214-14m-sv","50 st",85183000900,Svart,40x12mm,Screen,ABS,-,44g,74x37x35mm,"CE, Rohs, EMC",335,318,307,297,288,277,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,"LED MegaBeam WorkLigtht ReCharge Maxi Slim",523-00.001,,"Noble uppladdningsbar arbetslampa med kraftig LED  och COB arbetslampa. Inbyggd magnet som gör denna handfree. Kraftfullt 500mah batteri (150lumen), stor tryckyta och enkel USB-portsladdning.",523-00.001,Övrigt,,https://www.usb.nu/wp-content/uploads/2022/12/523-00.001_LED-MegaBeam-Workligtht-ReCharge-Maxi-Slim_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/LED-MegaBeam-Workligtht-ReCharge-Maxi-Slim_523-00.001_Pic.zip"">LED MegaBeam Workligtht ReCharge Maxi Slim_523-00.001_Pic</a>",,725-sv,"50 st",85131000000,Svart,50x10mm,Lasergravyr,Metall,-,63g,194x25x10mm,"Rohs,EMC",105,96,91,87,84,79,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,"Deskpad ECO A3 Recycled tires",16611,,"ECO-pad skrivbords underlägg i A3 tillverkad i Tyskland där botten är tillverkad av 100 % återvunna bildäck från Tyskland.

Toppyta: 0,3 mm miljövänligt stenpapper som bara kräver en bråkdel av energin och vattnet att producera. 1 ton stenpapper = 474 KG CO2 och jämfört med vanligt papper där det är ca. 1431 KG CO2 för 1 ton vanligt papper.",16611,"Musmattor/Gaming,Nyheter,ECO Produkter","https://www.usb.nu/wp-content/uploads/2022/12/16611_Deskpad-ECO-A3-Recycled-tires_4_007168_bana.jpg,https://www.usb.nu/wp-content/uploads/2022/12/16611_Deskpad-ECO-A3-Recycled-tires_3_007168.jpg,https://www.usb.nu/wp-content/uploads/2022/12/16611_Deskpad-ECO-A3-Recycled-tires_1_007168_bana-scaled.jpg",https://www.usb.nu/wp-content/uploads/2022/12/16611_Deskpad-ECO-A3-Recycled-tires_1_007168.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/Deskpad-ECO-A3-Recycled-tires_16611_Pic.zip"">Deskpad ECO A3 Recycled tires_16611_Pic</a>",,730-sv,"100 st",3926909755,"Egen färg",420x297mm,Fullfärgstryck,"Återvunna däck och stenpapper",-,265g,420x297x2mm,-,,107,84,75,67,57,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,"Fitness Tracker Smart Pro",880-00.001,,"Deluxe fitnesstracker med en pekskärm i fullfärg.  Dessutom kan det inbyggda handsfree-setet (högtalare/mikrofon) användas för att ringa telefonsamtal med klockan. Inkl. professionell fitnesstracker och hälsofunktion, t.ex. B. Blodtryck, blodsyre och hjärtslag fungerar via appen.",880-00.001,"Mobiltillbehör,Nyheter,Uncategorized","https://www.usb.nu/wp-content/uploads/2022/12/880-00.001_FitnessTracker-SmartPro_1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/880-00.001_FitnessTracker-SmartPro_2.jpg",https://www.usb.nu/wp-content/uploads/2022/12/880-00.001_FitnessTracker-SmartPro_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/880-00.001_FitnessTracker-SmartPro_2-Pics.zip"">880-00.001_FitnessTracker SmartPro_2-Pics</a>",,"715-sv,203-11m-sv","100 st",91021200000,Svart,25x4mm,Screen,Metall,-,51g,275x38x13mm,"Rohs, EMC",220,202,188,183,175,170,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,"R-PET Clean Cloth Large",14162,,"Miljö i fokus. Stor putsduk i R-PET med ett enormt användningsområde gör denna till en bra giveaway. En produkt som passar alla!

All insamling och tillverkning av det återvunna materialet är certifierat med Global Recycled Standard (GRS) 4.0. En internationell standard för att säkerställa att materialet återvinns och hanteras på ett så miljövänligt sätt som möjligt. 3-parts besiktning för att verifiera ursprung av råvara &amp; att en ansvarsfull produktion efterföljs. 70% av tyget är gjort av återvunna PET flaskor.

Mikrofibermaterialen har fått Oeko-Tex och REACH-certifiering, det är även COLTS Laboratories testade för rengöringseffektivitet.

Vi använder FSC sublimeringspapper och färgerna är vattenbaserade.",14162,"Mobiltillbehör,iPad-tillbehör,ECO Produkter","https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_2-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/14162_2S4A3466_AO-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_7-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_6-1.jpg,https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_4-1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_2b_ESTS-2.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_Pics-1.zip"" target=""_blank"" rel=""noopener"">14162_R-PET Clean Cloth Large_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/14162_R-PET-Clean-Cloth-Large_ARTW.pdf"" target=""_blank"" rel=""noopener"">14162_R-PET Clean Cloth Large_ARTW</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/14162-Declaration-of-conformity.pdf"" target=""_blank"" rel=""noopener"">14162 Declaration of conformity</a>",,730-sv,"50 st",6307109090,Vit,"300x200mm, hela duken",Fullfärgstryck,"R-PET. 70% polyester, 30% nylon",-,12g,"Duk: 300x200mm Förpackning: 230x185x2mm",Reach,32,29,26,24,22,21,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,"Clip-Light Mobile Light Connect",710-00.001,,"Uppladdningsbar Clips lampa för flexibel infästning, med 4 ljuslägen 100%, Eco 50%, Eco 25%, samt röd varningslampa. Batteri  på 300mAh litiumjonbatteri ger upp till 8 timmars ljus.",710-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2022/12/710-00.001_Clip-Light-Mobile-Light-Connect_2.jpg,https://www.usb.nu/wp-content/uploads/2022/12/710-00.001_Clip-Light-Mobile-Light-Connect_3.jpg,https://www.usb.nu/wp-content/uploads/2022/12/710-00.001_Clip-Light-Mobile-Light-Connect_5.jpg,https://www.usb.nu/wp-content/uploads/2022/12/710-00.001_Clip-Light-Mobile-Light-Connect_4.jpg",https://www.usb.nu/wp-content/uploads/2022/12/710-00.001_Clip-Light-Mobile-Light-Connect_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/710-00.001_Clip-Light-Mobile-Light-Connect_Pic.zip"">710-00.001_Clip-Light Mobile Light Connect_Pic</a>",,715-sv,"50 st",85131000000,Svart,10x7mm,Screen,ABS,300mAh,28g,66x39x23mm,"Rohs,EMC",123,89,83,79,76,73,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,"Mousepad ECO Recycled tires",16610,,"ECO-pad musmatta tillverkad i Tyskland där botten är tillverkad av 100 % återvunna bildäck från Tyskland.

Toppyta: 0,3 mm miljövänligt stenpapper som bara kräver en bråkdel av energin och vattnet att producera. 1 ton stenpapper = 474 KG CO2 och jämfört med vanligt papper där det är ca. 1431 KG CO2 för 1 ton vanligt papper.",16610,"Musmattor/Gaming,Nyheter,ECO Produkter","https://www.usb.nu/wp-content/uploads/2023/01/007162-1.jpg,https://www.usb.nu/wp-content/uploads/2023/01/16610_Mousepad-ECO-240x200_007162_2.jpg",https://www.usb.nu/wp-content/uploads/2023/01/16610_Mousepad-ECO-240x200_007162.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16610_Mousepad-ECO-Recycled-Tires_240x200_PIC.zip"" target=""_blank"" rel=""noopener"">16610_Mousepad ECO Recycled Tires_240x200_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16610_Mousepad-ECO-Recycled-tires_240x200_SIM.pdf"" target=""_blank"" rel=""noopener"">16610_Mousepad ECO Recycled tires_240x200_SIM</a>",,730-sv,"100 st",3926909755,Svart/fullfärgstryck,240x200mm,Fullfärgstryck,"Återvunna däck och stenpapper",-,120g,240x200x2mm,Reach,,68,49,38,33,27,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,"Worklight ReCharge Multicompact",614-00.001,,"Uppladdningsbar (1200 mAh) kompakt professionell arbetslampa med dubbla användningsområden i ett stänkksäkert aluminiumhölje med LED-helljus och kraftfull COB-arbetsstrålkastare  Inbyggt magnetfäste &amp; hållare föra att klicka i pannbandet  eller mössan för bekvämt arbete, jogging och resor. LED 60 lumen, COB 110 lumen.",614-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2022/12/614-00.001_Worklight-Reharge-Multicompact_2-1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/614-00.001_Worklight-Reharge-Multicompact_3.jpg,https://www.usb.nu/wp-content/uploads/2022/12/614-00.001.jpg",https://www.usb.nu/wp-content/uploads/2022/12/614-00.001_Worklight-Reharge-Multicompact_1-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2022/12/Worklight-Recharge-Multicompact_614-00.001_Pic.zip"">Worklight Recharge Multicompact_614-00.001_Pic</a>",,715-sv,"50 st",85131000000,Svart/grå/silver,60x10mm,Screen,Aluminium/plast,1200mAh,88g,82x45x30mm,"Rohs,EMC",80,69,64,59,56,53,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,"BBQ Future Tech Fire",775-00.001,,"Grilltändare i elegant metallhölje. Uppladdningsbar via USB. Upp till 80 tändningar per laddning. Levereras i snygg presentförpackning.",775-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2022/12/30008700@2.jpg,https://www.usb.nu/wp-content/uploads/2022/12/775-00.001_BBQ-Future-Tech-Fire.webp,https://www.usb.nu/wp-content/uploads/2022/12/775-00.001_2S4A6509PM-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/775-00_BBQ-Future-Tech-Fire_5.jpg,https://www.usb.nu/wp-content/uploads/2022/12/775-00.001_12S4A6521PM-scaled.jpg",https://www.usb.nu/wp-content/uploads/2022/12/775-00_BBQ-Future-Tech-Fire_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2022/12/BBQ-Future-Tech-Fire_775-00.001_Pic.zip"">BBQ Future Tech Fire_775-00.001_Pic</a>

<a href=""https://www.usb.nu/wp-content/uploads/2022/12/775.00_BBQ-Future-Tech-Fire_SIM.pdf"" target=""_blank"" rel=""noopener"">775.00_BBQ Future Tech Fire_SIM</a>","[video width=""1920"" height=""1080"" mp4=""https://www.usb.nu/wp-content/uploads/2022/12/775-00.001_smaller.mp4""][/video]",725-sv,"50 st",96138000000,Svart/silver,12x25mm,Lasergravyr,Metall/plast,"Upp till 80st tändningar",80g,26x230x18mm,"Rohs,EMC",116,105,97,92,88,85,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,"Mr.Boombastic Pocket speaker",860-00.001,,"<p id=""tw-target-text"" class=""tw-data-text tw-text-large tw-ta"" dir=""ltr"" data-placeholder=""Översättning"">Kompakt trådlös 3 Watt högtalare för fantastiskt ljud! Tar ingen plats i packningen, idealisk för dig på språng! Inbyggd karbinhake - perfekt att hänga på ryggsäcken eller i byxhällan. Topp-pris och bra reklammöjlighet tack vare digitalt heltryck på ljudgallret. 3 Watt, 300mAh litiumjonbatteri, för 3-5 timmars musik.</p>",860-00.001,"Nyheter,Ljud","https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_18-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_2S4A6775PM-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_7-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_5.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_2.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_8-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_2S4A6778PM-scaled.jpg",https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_19-1-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_MrBoombastic-Pocket-speaker_PIC.zip"" target=""_blank"" rel=""noopener"">860-00.001_MrBoombastic Pocket speaker_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2022/12/860-00.001_Mr.Boombastic-Pocket-speaker_SIM.pdf"" target=""_blank"" rel=""noopener"">860-00.001_Mr.Boombastic Pocket speaker_SIM</a>",,730-sv,"50 st",85182100000,Svart,"Hela galler framsidan",Fullfärgstryck,Metal/ABS,"3W högtalare",63g,126x45x18mm,"Rohs, EMC,RED",121,110,100,97,93,90,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,"Black Charge Pro",629-00.001,,"Uppladdningsbar, kraftfull 10 Watts LED-ficklampa gjord av  flygplansaluminium! En kombination av fantastisk närbildsstrålkastare och stark fokuserbart helljus upp till ca. 200 m med 3 effektnivåer: 100%, 50% och 25% samt SOS-läge. På sidan finns det en 5 Watt COB-arbetslampa med inbyggd magnet så du kan arbeta bekvämt med strålkastare, även på natten. Inkl. litiumbatteri (2200 mAh).",629-00.001,Övrigt,https://www.usb.nu/wp-content/uploads/2022/12/629-00.001_BlackChargePro_1-1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/629-00.001_BlackChargePro_1-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2022/12/629-00.001_BlackChargePro-Pic.zip"">629-00.001_BlackChargePro-Pic</a>",,725-sv,"100 st",85131000000,Svart,13x15mm,Lasergravyr,Metall,2200mAh,88g,137x34x34mm,"Rohs,EMC",168,155,144,139,134,129,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,"Worklight Pro Recharge",504-00.001,,"XXL PRO WORKLIGHT - Hållbart, inbyggt uppladdningsbart batteri. Ljus på 800 lumen - Fokuserbart och praktiskt inkl. COB strålkastare med starka magneter för alla arbetssituationer. Uppladdningsbart batteri på 3 000 mAh.",504-00.001,"Övrigt,Uncategorized","https://www.usb.nu/wp-content/uploads/2022/12/504-00.001_2-1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/504-00.001_1-1.jpg",https://www.usb.nu/wp-content/uploads/2022/12/504-00.001-1.jpg,,,725-sv,"50 st",8513100000,Svart,60x20mm,Lasergravyr,Aluminium,3000mAh,362g,202x44x44mm,"Rohs LVD",301,284,274,264,254,245,235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,"LED Light 5in1 cable Bamboo",16650,,"Förlängda versionen av vår populära R-pet  LED Laddkabel 5i1, nu 100 cm lång. En smart laddkabel som lyser upp er logo i form av LED ljus med bambo detaljer. Med den nya 5i1 kontakten är det nu möjligt att ladda från Type C till Type C. Laddkontakter som passar för iPhone, Samsung samt Type C ingår!",16650,"Laddare/Sladdar,Hemma/Kontor","https://www.usb.nu/wp-content/uploads/2022/12/16650_R-PET-5in1-cable-Bamboo_2-1.jpg,https://www.usb.nu/wp-content/uploads/2022/12/16650_R-PET-5in1-cable-Bamboo_4.jpg,https://www.usb.nu/wp-content/uploads/2022/12/16650_R-PET-5in1-cable-Bamboo_1_bana-scaled.jpg",https://www.usb.nu/wp-content/uploads/2022/12/16650_R-PET-5in1-cable-Bamboo_1b.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2022/12/16650_R-PET-5in1-cable-Bamboo_PIC.zip"" target=""_blank"" rel=""noopener"">16650_R-PET 5in1 cable Bamboo_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2022/12/16650_LED-Light-5in1-Cable-Bamboo_SIM-1.pdf"" target=""_blank"" rel=""noopener"">16650_LED Light 5in1 Cable Bamboo_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2022/12/16650_LED-Light-5in1-Cable-Bamboo-BOX_SIM.pdf"" target=""_blank"" rel=""noopener"">16650_LED Light 5in1 Cable Bamboo BOX_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2022/12/16650-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">16650 Declaration of Conformity</a>",,123456-2,"100 st",8544429090,Svart/bambu,"Kabel: Ø20mm  Box: 60x25mm","Kabel: gravyr  Box: silverprägling",ABS,5V/2A,35g,"35x1000 mm","CE, Rohs, EMC",89,76,71,66,62,59,57,-,-,-,-,-,-,-,-,"LED-lampa i vitt från 100 st. Rött, blått eller grönt från 500 st.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
